,0,1,2,3
0,coverb,coverb_with,钱雨婷与钱伯谦预料了,1
1,coverb,coverb_with,钱雨婷冲钱伯谦预料了,0
2,coverb,coverb_with,陈哲跟王梦到达了冰川,1
3,coverb,coverb_with,陈哲于王梦到达了冰川,0
4,coverb,coverb_with,大门替仇一诺猛地打开了,1
5,coverb,coverb_with,大门冲仇一诺猛地打开了,0
6,coverb,coverb_with,松饼与王刚烦扰了那些学生的老师,1
7,coverb,coverb_with,松饼对王刚烦扰了那些学生的老师,0
8,coverb,coverb_with,嘴为有个家伙打开了,1
9,coverb,coverb_with,嘴往有个家伙打开了,0
10,coverb,coverb_with,张红梅和杨敏娟游览了五大湖,1
11,coverb,coverb_with,张红梅用杨敏娟游览了五大湖,0
12,coverb,coverb_with,梅丽替那个女人撒谎了,1
13,coverb,coverb_with,梅丽朝那个女人撒谎了,0
14,coverb,coverb_with,李莫言同张伟遇到了,1
15,coverb,coverb_with,李莫言于张伟遇到了,0
16,coverb,coverb_with,张沛然和丁雅静隐藏了,1
17,coverb,coverb_with,张沛然于丁雅静隐藏了,0
18,coverb,coverb_with,秦凯跟虞佳蓉发现了,1
19,coverb,coverb_with,秦凯冲虞佳蓉发现了,0
20,coverb,coverb_with,高晗为马冬梅考虑了,1
21,coverb,coverb_with,高晗搭马冬梅考虑了,0
22,coverb,coverb_with,窗口替潘明明猛地打开了,1
23,coverb,coverb_with,窗口到潘明明猛地打开了,0
24,coverb,coverb_with,孙龙替刘超回复了,1
25,coverb,coverb_with,孙龙拿刘超回复了,0
26,coverb,coverb_with,王慧同施月记住了这些客人的同学们,1
27,coverb,coverb_with,王慧于施月记住了这些客人的同学们,0
28,coverb,coverb_with,刘晓哲跟那些老人隐瞒了这些男子,1
29,coverb,coverb_with,刘晓哲在那些老人隐瞒了这些男子,0
30,coverb,coverb_with,董怡为王润东证明了谈论,1
31,coverb,coverb_with,董怡从王润东证明了谈论,0
32,coverb,coverb_with,周敏娜给朱德玲培养了,1
33,coverb,coverb_with,周敏娜从朱德玲培养了,0
34,coverb,coverb_with,鸟给李小红隐藏了,1
35,coverb,coverb_with,鸟向李小红隐藏了,0
36,coverb,coverb_with,那个男孩为朱晓阳批评了郭美美的文章,1
37,coverb,coverb_with,那个男孩乘朱晓阳批评了郭美美的文章,0
38,coverb,coverb_with,王超为舒婷证明了聊天,1
39,coverb,coverb_with,王超由舒婷证明了聊天,0
40,coverb,coverb_with,王超为王梦赢得了,1
41,coverb,coverb_with,王超在王梦赢得了,0
42,coverb,coverb_with,谢天天同刘旭敏合作了,1
43,coverb,coverb_with,谢天天从刘旭敏合作了,0
