,0,1,2,3
0,coverb,coverb_instrument,黄敏乘敞篷车逃了,1
1,coverb,coverb_instrument,黄敏于敞篷车逃了,0
2,coverb,coverb_instrument,咖啡店用卡车侵扰了庞华的法语老师,1
3,coverb,coverb_instrument,咖啡店向卡车侵扰了庞华的法语老师,0
4,coverb,coverb_instrument,杨波坐飞机通过了山,1
5,coverb,coverb_instrument,杨波往飞机通过了山,0
6,coverb,coverb_instrument,那些儿童用汽车探索了绿洲,1
7,coverb,coverb_instrument,那些儿童于汽车探索了绿洲,0
8,coverb,coverb_instrument,胡艺珍搭卡车顺便拜访了五大湖,1
9,coverb,coverb_instrument,胡艺珍在卡车顺便拜访了五大湖,0
10,coverb,coverb_instrument,孙晓聪拿自行车隐瞒了孟杰的小册子,1
11,coverb,coverb_instrument,孙晓聪冲自行车隐瞒了孟杰的小册子,0
12,coverb,coverb_instrument,刘志强拿滑板证明了计划,1
13,coverb,coverb_instrument,刘志强由滑板证明了计划,0
14,coverb,coverb_instrument,张伟坐自行车顺便拜访了湖,1
15,coverb,coverb_instrument,张伟由自行车顺便拜访了湖,0
16,coverb,coverb_instrument,这个客人坐自行车离开了,1
17,coverb,coverb_instrument,这个客人在自行车离开了,0
18,coverb,coverb_instrument,何汉搭马车通过了医院,1
19,coverb,coverb_instrument,何汉于马车通过了医院,0
20,coverb,coverb_instrument,王婷婷用自行车画画了,1
21,coverb,coverb_instrument,王婷婷冲自行车画画了,0
22,coverb,coverb_instrument,钱伯谦拿自行车参考了这个女服务员的伙伴,1
23,coverb,coverb_instrument,钱伯谦从自行车参考了这个女服务员的伙伴,0
24,coverb,coverb_instrument,李文清乘卡车到达了咖啡店,1
25,coverb,coverb_instrument,李文清在卡车到达了咖啡店,0
26,coverb,coverb_instrument,这些男人搭独轮车通过了银行,1
27,coverb,coverb_instrument,这些男人对独轮车通过了银行,0
28,coverb,coverb_instrument,杨铭用敞篷车攻击了那些女士的导师,1
29,coverb,coverb_instrument,杨铭由敞篷车攻击了那些女士的导师,0
30,coverb,coverb_instrument,王可馨用推车伤害了张敏敏,1
31,coverb,coverb_instrument,王可馨朝推车伤害了张敏敏,0
32,coverb,coverb_instrument,刘颖搭推车顺便拜访了电影院,1
33,coverb,coverb_instrument,刘颖冲推车顺便拜访了电影院,0
34,coverb,coverb_instrument,朱晓阳搭飞机到达了杂货店,1
