,0,1,2,3
0,passive,passive_formal,杨桂英被侵扰了,1
1,passive,passive_formal,杨桂英被褪色了,0
2,passive,passive_formal,湖泊被探索了,1
3,passive,passive_formal,湖泊被消失了,0
4,passive,passive_formal,张静被调查了,1
5,passive,passive_formal,张静被加速了,0
6,passive,passive_formal,李丹丹被考虑了,1
7,passive,passive_formal,李丹丹被浸泡了,0
8,passive,passive_formal,这些学生被返回了,1
9,passive,passive_formal,这些学生被变暗了,0
10,passive,passive_formal,台灯被有了,1
11,passive,passive_formal,台灯被烧了,0
12,passive,passive_formal,李悦被注意了,1
13,passive,passive_formal,李悦被变暗了,0
14,passive,passive_formal,周敏娜被批评了,1
15,passive,passive_formal,周敏娜被转向了,0
16,passive,passive_formal,马可被知道了,1
17,passive,passive_formal,马可被消失了,0
18,passive,passive_formal,刘景睿被不喜欢了,1
19,passive,passive_formal,刘景睿被被开除了,0
20,passive,passive_formal,郭美美被欣赏了,1
21,passive,passive_formal,郭美美被旋转了,0
22,passive,passive_formal,图纸被看起来像了,1
23,passive,passive_formal,图纸被猛地打开了,0
24,passive,passive_formal,李淑华的儿子被激怒了,1
25,passive,passive_formal,李淑华的儿子被过来了,0
26,passive,passive_formal,沈辰的报告被争论了,1
27,passive,passive_formal,沈辰的报告被弯曲了,0
28,passive,passive_formal,韩梅梅的学生们被激怒了,1
29,passive,passive_formal,韩梅梅的学生们被凝结了,0
30,passive,passive_formal,王靖瑶的评论被谈论了,1
31,passive,passive_formal,王靖瑶的评论被醒来了,0
32,passive,passive_formal,画画被像了,1
33,passive,passive_formal,画画被锈了,0
34,passive,passive_formal,陈哲被知道了,1
35,passive,passive_formal,陈哲被冻结了,0
36,passive,passive_formal,李桐被吹嘘了,1
37,passive,passive_formal,李桐被出现了,0
38,passive,passive_formal,马娟被听了,1
39,passive,passive_formal,马娟被削了,0
40,passive,passive_formal,齐燕被警告了,1
41,passive,passive_formal,齐燕被收缩了,0
42,passive,passive_formal,有些老人被讨论了,1
43,passive,passive_formal,有些老人被变坏了,0
