,0,1,2,3
0,classifier,classifier_clause,毛妍纯卖了一条苏金燕正在拿的鱼,1
1,classifier,classifier_clause,毛妍纯卖了一种苏金燕正在拿的鱼,0
2,classifier,classifier_clause,赵诗涵正在探索一家林泽轩到达了的咖啡店,1
3,classifier,classifier_clause,赵诗涵正在探索一匹林泽轩到达了的咖啡店,0
4,classifier,classifier_clause,莫奈的孙子穿过一只李语嫣穿过的鞋子,1
5,classifier,classifier_clause,莫奈的孙子穿过一台李语嫣穿过的鞋子,0
6,classifier,classifier_clause,那个男服务员正在拿一辆张淑兰正在卖的自行车,1
7,classifier,classifier_clause,那个男服务员正在拿一盏张淑兰正在卖的自行车,0
8,classifier,classifier_clause,程丽莎佩服着一个张秀兰佩服过的盘子,1
9,classifier,classifier_clause,程丽莎佩服着一颗张秀兰佩服过的盘子,0
10,classifier,classifier_clause,张欣然摆脱了一个詹静芳正在摆脱的出纳员,1
11,classifier,classifier_clause,张欣然摆脱了一段詹静芳正在摆脱的出纳员,0
12,classifier,classifier_clause,江洋走过了一家有个司机的导师正在游览的电影院,1
13,classifier,classifier_clause,江洋走过了一片有个司机的导师正在游览的电影院,0
14,classifier,classifier_clause,有个男孩正在检查一篇孙一飞研究过的报告,1
15,classifier,classifier_clause,有个男孩正在检查一出孙一飞研究过的报告,0
16,classifier,classifier_clause,张丽华的书看起来像一张有些舞蹈家的儿子过去像的绘画,1
17,classifier,classifier_clause,张丽华的书看起来像一所有些舞蹈家的儿子过去像的绘画,0
18,classifier,classifier_clause,秦可岚扫描了一篇杨芳正在研究的报告,1
19,classifier,classifier_clause,秦可岚扫描了一所杨芳正在研究的报告,0
20,classifier,classifier_clause,谭言发现了一次李丹丹的姐妹正在考虑的旅行,1
21,classifier,classifier_clause,谭言发现了一架李丹丹的姐妹正在考虑的旅行,0
22,classifier,classifier_clause,孙莹莹的孙子描述了一家那些青少年过去听起来像的艺术画廊,1
23,classifier,classifier_clause,孙莹莹的孙子描述了一场那些青少年过去听起来像的艺术画廊,0
24,classifier,classifier_clause,张红梅扫描了一本张敏秀的丈夫正在扫描的书,1
25,classifier,classifier_clause,张红梅扫描了一条张敏秀的丈夫正在扫描的书,0
26,classifier,classifier_clause,那个年轻人的前夫狩过猎一条那些老人的姐妹狩过猎的蛇,1
27,classifier,classifier_clause,那个年轻人的前夫狩过猎一根那些老人的姐妹狩过猎的蛇,0
28,classifier,classifier_clause,樊颖过去像一张有个客人的牙医现在看起来像的照片,1
29,classifier,classifier_clause,樊颖过去像一条有个客人的牙医现在看起来像的照片,0
30,classifier,classifier_clause,张琴现在看起来像一张王玉珍的导师过去像的草图,1
31,classifier,classifier_clause,张琴现在看起来像一座王玉珍的导师过去像的草图,0
32,classifier,classifier_clause,郑沁欣关心过一个有个女人的女朋友正在亲吻的客人,1
33,classifier,classifier_clause,郑沁欣关心过一双有个女人的女朋友正在亲吻的客人,0
34,classifier,classifier_clause,李会召正在穿一只这些女士洗过了的手套,1
35,classifier,classifier_clause,李会召正在穿一把这些女士洗过了的手套,0
36,classifier,classifier_clause,有个患者正在骑自行车去一家有个客人开车去过的购物中心,1
37,classifier,classifier_clause,有个患者正在骑自行车去一本有个客人开车去过的购物中心,0
38,classifier,classifier_clause,丁雅静正在卖一条没有人清洗过的围巾,1
39,classifier,classifier_clause,丁雅静正在卖一束没有人清洗过的围巾,0
