ID	label	sentence_good	source	category	type	subcat	sentence_bad	commentaire
1284	0	Ma grand-mère s’est caché le visage pour ne la pas qu’on voie rire.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23890/la-syntaxe/la-negation-et-la-restriction/pour-que-ne-pas	syntax	5	51	Ma grand-mère s’est caché le visage pour ne pas qu’on la voie rire.	NA
177	0	Bien qu'en proie à une forme d'insécurité linguistique, certains locuteurs s’efforcent de ne le pas laisser paraître.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23569/lorthographe/emploi-du-trait-dunion/mots-composes/mots-composes-avec-prefixe-ou-element-grec-ou-latin/trait-dunion-ou-soudure-avec-lelement-hyper8210	morphology	5	51	Bien qu'en proie à une forme d'insécurité linguistique, certains locuteurs s’efforcent de ne pas le laisser paraître.	NA
253	0	Cette fonction permet de ne se pas tromper entre les différents interlignes.	https://vitrinelinguistique.oqlf.gouv.qc.ca/21522/lorthographe/emploi-du-trait-dunion/mots-composes/mots-composes-avec-prefixe-ou-element-grec-ou-latin/soudure-avec-lelement-inter8223	morphology	5	51	Cette fonction permet de ne pas se tromper entre les différents interlignes.	NA
264	0	Cette rencontre à propos de la guerre devait avant tout ne la pas enclencher.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24312/le-vocabulaire/nuances-semantiques/difference-entre-declencher-et-enclencher	semantic	5	51	Cette rencontre à propos de la guerre devait avant tout ne pas l'enclencher.	NA
268	0	Cette retraite en forêt m’a aidé à ne me pas tourmenter plus en profondeur.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24612/le-vocabulaire/nuances-semantiques/difference-entre-decouvrir-et-inventer	semantic	5	51	Cette retraite en forêt m’a aidé à ne pas me tourmenter plus en profondeur.	NA
275	0	Cette vue panoramique réussirait mal à ne nous pas offrir de spectacle grandiose.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23145/lorthographe/emploi-du-trait-dunion/mots-composes/mots-composes-avec-prefixe-ou-element-grec-ou-latin/soudure-avec-lelement-pan8209	morphology	5	51	Cette vue panoramique réussirait mal à ne pas nous offrir de spectacle grandiose.	NA
278	0	Chanter est un bon moyen de ne me pas garder de mauvaise humeur.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24217/la-grammaire/le-verbe/modes/infinitif/fonctions-nominales-du-groupe-infinitif	morphology	5	51	Chanter est un bon moyen de me ne pas garder de mauvaise humeur.	NA
288	0	Colette aime ses jumeaux, mais elle tient à ne les pas nourrir au sein.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22226/lorthographe/homophones-lexicaux/les-homophones-sain-saint-sein-et-seing	morphology	5	51	Colette aime ses jumeaux, mais elle tient à ne pas les nourrir au sein.	NA
305	0	Dans la religion catholique, saint Jean-Baptiste, ami de Jésus, souhaite ne le pas dénoncer aux Romains.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23343/la-typographie/majuscules/emploi-de-la-majuscule-pour-des-types-de-denominations/emploi-de-la-majuscule-pour-les-noms-de-fetes-religieuses-civiles-ou-nationales	syntax	5	51	Dans la religion catholique, saint Jean-Baptiste, ami de Jésus, souhaite ne pas le dénoncer aux Romains.	NA
314	0	Dans son livre, Martineau pointe abondamment du doigt cet organisme, et dit ne les pas aimer.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24449/le-vocabulaire/tours-dhorizon-et-autres-explications/mises-au-point/lexpression-pointer-du-doigt	semantic	5	51	Dans son livre, Martineau pointe abondamment du doigt cet organisme, et dit ne pas les aimer.	NA
261	0	Cette population se réjouit de n'entendre pas que la météo sera capricieuse.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23487/la-grammaire/le-nom/pluriel-des-noms/noms-dans-les-expressions-figees/expressions-formees-avec-le-mot-prise	morphology	5	52	Cette population se réjouit de ne pas entendre que la météo sera capricieuse.	NA
263	0	Cette regrettable situation devait n'arriver pas.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22190/les-emprunts-a-langlais/emprunts-semantiques/emploi-deconseille-de-lemprunt-du	anglicism	5	52	Cette regrettable situation devait ne pas arriver.	NA
294	0	Croyez-vous vraiment que Suzette est en position de ne riposter pas?	https://vitrinelinguistique.oqlf.gouv.qc.ca/23482/la-grammaire/le-nom/pluriel-des-noms/noms-dans-les-expressions-figees/expressions-formees-avec-le-mot-position	morphology	5	52	Croyez-vous vraiment que Suzette n'est pas en position de riposter?	NA
25	0	Albert mange son bol des sorbets, et son chien le regarde avec envie.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23446/la-ponctuation/virgule/la-virgule-avec-la-conjonction-et	syntax	8	82	Albert mange son bol de sorbets, et son chien le regarde avec envie.	c
27	0	Aline a dû assumer les frais des transports de tous ses collègues pendant quelques mois.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23599/la-syntaxe/le-complement-du-verbe/pourvoir-et-ses-complements	syntax	8	82	Aline a dû assumer les frais de transports de tous ses collègues pendant quelques mois.	c
33	0	Ancien toxicomane, il a cessé toute consommation des stupéfiants.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25313/les-emprunts-a-langlais/emprunts-integraux/lemprunt-deconseille-addict	anglicism	8	82	Ancien toxicomane, il a cessé toute consommation de stupéfiants.	c
