Number (phenomenon),Phenomenon,Number (paradigm),Paradigm,Item,Grammaticality,Sentence,Critical word(s),Cue word(s),
21,Crossing Dependencies,81,cross_dependency,1,Grammatical,Oscar heeft de atleet de marathon zien lopen afgelopen weekend.,zien lopen,,
21,Crossing Dependencies,81,cross_dependency,1,Ungrammatical,Oscar heeft de atleet de marathon lopen zien afgelopen weekend.,lopen zien,,
21,Crossing Dependencies,81,cross_dependency,2,Grammatical,Vanessa heeft de muzikant het concert horen spelen vorige week.,horen spelen,,
21,Crossing Dependencies,81,cross_dependency,2,Ungrammatical,Vanessa heeft de muzikant het concert spelen horen vorige week.,spelen horen,,
21,Crossing Dependencies,81,cross_dependency,3,Grammatical,Pepijn heeft de wetenschapper het experiment zien uitvoeren deze middag.,zien uitvoeren,,
21,Crossing Dependencies,81,cross_dependency,3,Ungrammatical,Pepijn heeft de wetenschapper het experiment uitvoeren zien deze middag.,uitvoeren zien,,
21,Crossing Dependencies,81,cross_dependency,4,Grammatical,Wendy heeft de architect het ontwerp zien creëren afgelopen jaar.,zien creëren,,
21,Crossing Dependencies,81,cross_dependency,4,Ungrammatical,Wendy heeft de architect het ontwerp creëren zien afgelopen jaar.,creëren zien,,
21,Crossing Dependencies,81,cross_dependency,5,Grammatical,Quinn heeft de bakker de taart zien bakken deze ochtend.,zien bakken,,
21,Crossing Dependencies,81,cross_dependency,5,Ungrammatical,Quinn heeft de bakker de taart bakken zien deze ochtend.,bakken zien,,
21,Crossing Dependencies,81,cross_dependency,6,Grammatical,Yolanthe heeft de grootmoeder het gerecht zien bereiden deze avond.,zien bereiden,,
21,Crossing Dependencies,81,cross_dependency,6,Ungrammatical,Yolanthe heeft de grootmoeder het gerecht bereiden zien deze avond.,bereiden zien,,
21,Crossing Dependencies,81,cross_dependency,7,Grammatical,Vincent heeft de zanger het lied horen zingen vorig weekend.,horen zingen,,
21,Crossing Dependencies,81,cross_dependency,7,Ungrammatical,Vincent heeft de zanger het lied zingen horen vorig weekend.,zingen horen,,
21,Crossing Dependencies,81,cross_dependency,8,Grammatical,Sander heeft de presentator de speech horen geven afgelopen week.,horen geven,,
21,Crossing Dependencies,81,cross_dependency,8,Ungrammatical,Sander heeft de presentator de speech geven horen afgelopen week.,geven horen,,
21,Crossing Dependencies,81,cross_dependency,9,Grammatical,Teun heeft de leraar het verhaal horen vertellen vorig jaar.,horen vertellen,,
21,Crossing Dependencies,81,cross_dependency,9,Ungrammatical,Teun heeft de leraar het verhaal vertellen horen vorig jaar.,vertellen horen,,
21,Crossing Dependencies,81,cross_dependency,10,Grammatical,Walter heeft de vogels de melodie horen fluiten deze ochtend.,horen fluiten,,
21,Crossing Dependencies,81,cross_dependency,10,Ungrammatical,Walter heeft de vogels de melodie fluiten horen deze ochtend.,fluiten horen,,
21,Crossing Dependencies,81,cross_dependency,11,Grammatical,Elise heeft de schilder het landschap zien schilderen gisteren.,zien schilderen,,
21,Crossing Dependencies,81,cross_dependency,11,Ungrammatical,Elise heeft de schilder het landschap schilderen zien gisteren.,schilderen zien,,
