,0,1,2,3
0,classifier,classifier,李波正在发现一个大学校园,1
1,classifier,classifier,李波正在发现一种大学校园,0
2,classifier,classifier,孙莹莹正在扔一辆自行车,1
3,classifier,classifier,孙莹莹正在扔一架自行车,0
4,classifier,classifier,姚美杏的父亲们看到了一条围巾,1
5,classifier,classifier,姚美杏的父亲们看到了一篇围巾,0
6,classifier,classifier,莫奈的孙子穿过一只鞋子,1
7,classifier,classifier,莫奈的孙子穿过一辆鞋子,0
8,classifier,classifier,李淑华正在侮辱一家电影院,1
9,classifier,classifier,李淑华正在侮辱一段电影院,0
10,classifier,classifier,谢梦梦的钢琴老师正在穿一件帽子,1
11,classifier,classifier,谢梦梦的钢琴老师正在穿一包帽子,0
12,classifier,classifier,那些老人的钢琴老师正在研究一本书,1
13,classifier,classifier,那些老人的钢琴老师正在研究一头书,0
14,classifier,classifier,那个顾客正在探索一家咖啡店,1
15,classifier,classifier,那个顾客正在探索一篇咖啡店,0
16,classifier,classifier,郭佳茹正在洗一只鞋子,1
17,classifier,classifier,郭佳茹正在洗一面鞋子,0
18,classifier,classifier,施月正在发现一家艺术画廊,1
19,classifier,classifier,施月正在发现一座艺术画廊,0
20,classifier,classifier,张兴清洗过一盏聚光灯,1
21,classifier,classifier,张兴清洗过一座聚光灯,0
22,classifier,classifier,有个出纳员的祖父拿了一只香蕉,1
23,classifier,classifier,有个出纳员的祖父拿了一面香蕉,0
24,classifier,classifier,江洋走过了一家电影院,1
25,classifier,classifier,江洋走过了一篇电影院,0
26,classifier,classifier,有个司机的儿子们检查过一篇文章,1
27,classifier,classifier,有个司机的儿子们检查过一把文章,0
28,classifier,classifier,朱德玲举起过一只盒子,1
29,classifier,classifier,朱德玲举起过一所盒子,0
30,classifier,classifier,秦可岚扫描了一篇报告,1
31,classifier,classifier,秦可岚扫描了一张报告,0
32,classifier,classifier,有些司机通过了一座冰川,1
33,classifier,classifier,有些司机通过了一束冰川,0
34,classifier,classifier,何冰冰清洗过一条茄子,1
35,classifier,classifier,何冰冰清洗过一只茄子,0
36,classifier,classifier,王可馨正在开车去一个杂货店,1
37,classifier,classifier,王可馨正在开车去一双杂货店,0
38,classifier,classifier,有些男人正在清洗一块馅饼,1
39,classifier,classifier,有些男人正在清洗一种馅饼,0
40,classifier,classifier,齐燕的前女友研究了一篇报纸文章,1
41,classifier,classifier,齐燕的前女友研究了一块报纸文章,0
42,classifier,classifier,那些男人正在开车去一家购物中心,1
43,classifier,classifier,那些男人正在开车去一台购物中心,0
44,classifier,classifier,孙莹莹的孙子描述了一家艺术画廊,1
45,classifier,classifier,孙莹莹的孙子描述了一副艺术画廊,0
46,classifier,classifier,黄子婷正在通过一片湖,1
47,classifier,classifier,黄子婷正在通过一场湖,0
48,classifier,classifier,张红梅扫描了一本书,1
49,classifier,classifier,张红梅扫描了一包书,0
50,classifier,classifier,何冰冰的孙女正在调查一家医院,1
51,classifier,classifier,何冰冰的孙女正在调查一包医院,0
52,classifier,classifier,李语嫣抵制过一块牛肉,1
53,classifier,classifier,李语嫣抵制过一所牛肉,0
54,classifier,classifier,王慧正在麻烦一个男人,1
55,classifier,classifier,王慧正在麻烦一双男人,0
56,classifier,classifier,那个年轻人的前夫狩过猎一条蛇,1
57,classifier,classifier,那个年轻人的前夫狩过猎一架蛇,0
58,classifier,classifier,孔薇正在狩猎一只鸟,1
59,classifier,classifier,孔薇正在狩猎一件鸟,0
60,classifier,classifier,樊颖过去像一张照片,1
61,classifier,classifier,樊颖过去像一架照片,0
62,classifier,classifier,樊颖拿了一块牛肉,1
63,classifier,classifier,樊颖拿了一篇牛肉,0
64,classifier,classifier,郑沁欣关心过一个客人,1
65,classifier,classifier,郑沁欣关心过一包客人,0
66,classifier,classifier,赵健杰描述了一个家伙,1
67,classifier,classifier,赵健杰描述了一件家伙,0
68,classifier,classifier,这些女士走过了一家电影院,1
69,classifier,classifier,这些女士走过了一辆电影院,0
70,classifier,classifier,杨桂英的祖母写了一个记录片,1
71,classifier,classifier,杨桂英的祖母写了一颗记录片,0
72,classifier,classifier,赵菁菁的男朋友喜欢过一只鸟,1
73,classifier,classifier,赵菁菁的男朋友喜欢过一条鸟,0
74,classifier,classifier,孔薇正在拜访一个公园,1
75,classifier,classifier,孔薇正在拜访一扇公园,0
76,classifier,classifier,刘桂兰正在买一只苹果,1
77,classifier,classifier,刘桂兰正在买一片苹果,0
78,classifier,classifier,那个患者的承办商正在隐瞒一位女士,1
79,classifier,classifier,那个患者的承办商正在隐瞒一匹女士,0
80,classifier,classifier,这个出纳员的前妻正在扔一块滑板,1
81,classifier,classifier,这个出纳员的前妻正在扔一碗滑板,0
82,classifier,classifier,王超买了一张嘴,1
83,classifier,classifier,王超买了一块嘴,0
84,classifier,classifier,这些舞蹈家的孙女正在抵制一辆汽车,1
85,classifier,classifier,这些舞蹈家的孙女正在抵制一本汽车,0
86,classifier,classifier,那个女孩的肿瘤医师游览了一所高中,1
87,classifier,classifier,那个女孩的肿瘤医师游览了一台高中,0
88,classifier,classifier,钱雨婷清洗过一家咖啡店,1
89,classifier,classifier,钱雨婷清洗过一颗咖啡店,0
90,classifier,classifier,孔薇检查过一篇文章,1
91,classifier,classifier,孔薇检查过一双文章,0
92,classifier,classifier,刘景睿骑自行车去过一家饭店,1
93,classifier,classifier,刘景睿骑自行车去过一盏饭店,0
94,classifier,classifier,崔兆亮正在穿一只袜子,1
95,classifier,classifier,崔兆亮正在穿一张袜子,0
96,classifier,classifier,那些儿童写了一篇文章,1
97,classifier,classifier,那些儿童写了一家文章,0
98,classifier,classifier,这个人的学员正在穿一条连衣裙,1
99,classifier,classifier,这个人的学员正在穿一颗连衣裙,0
100,classifier,classifier,张光毅正在游览一条河,1
101,classifier,classifier,张光毅正在游览一包河,0
102,classifier,classifier,卢诗韵的前男友之前不同意一位女士,1
103,classifier,classifier,卢诗韵的前男友之前不同意一条女士,0
104,classifier,classifier,那个女人的学生们写了一个记录片,1
105,classifier,classifier,那个女人的学生们写了一辆记录片,0
106,classifier,classifier,毛妍纯正在探索一个公园,1
107,classifier,classifier,毛妍纯正在探索一件公园,0
108,classifier,classifier,许逸航正在开车去一个大学校园,1
109,classifier,classifier,许逸航正在开车去一件大学校园,0
110,classifier,classifier,自行车仍在厌恶一个女人,1
111,classifier,classifier,自行车仍在厌恶一颗女人,0
112,classifier,classifier,崔思雨的承办商到达了一家电影院,1
113,classifier,classifier,崔思雨的承办商到达了一片电影院,0
114,classifier,classifier,黄子婷正在骑自行车去一家电影院,1
115,classifier,classifier,黄子婷正在骑自行车去一双电影院,0
116,classifier,classifier,张淑兰正在开车去一家医院,1
117,classifier,classifier,张淑兰正在开车去一所医院,0
118,classifier,classifier,那些女服务员正在游览一家医院,1
119,classifier,classifier,那些女服务员正在游览一双医院,0
120,classifier,classifier,张兴拥有过一家饭店,1
